feature,importance
T23,32.17687598516567
F19,7.287240897705867
CFPP,5.339913368198825
F25,3.6624785502893396
F14,3.6278787301049182
W4,3.4827865469240447
F9,3.272656378072419
P3,3.006340717969498
CloudPoint,2.938579639891185
P8,2.820408769178165
input_sulfur_age_hours,2.729942684286883
F1,2.715494033578339
IBP,2.6822752199171496
F22,2.409653169465349
T12,2.3611734375265603
F26,2.308252573712775
F17,2.1245978747140324
W10,2.0710025013636
T95,1.9447104021515795
P24,1.9224392598759907
T16,1.9010829046742859
T90,1.3652714274486313
D15,0.9650694478756111
T50,0.8704894882140835
input_sulfur_mg_kg,0.7153095844350454
F2,0.693194354532172
T11,0.6451615875494994
T5,0.5567291730569369
T6,0.504374192867959
F15,0.45524366595643123
W7,0.1797399506489704
I250,0.1187636299385081
P13,0.08942978936666128
T18,0.05544006334299551
