feature,role,unit,source_columns,control_info
hdt_F1,raw_signal,,,{}
hdt_F2,raw_signal,,,{}
hdt_P3,raw_signal,,,{}
hdt_W4,raw_signal,,,{}
hdt_T5,raw_signal,,,{}
hdt_T6,raw_signal,,,"{'name': 'температура на входе реактора', 'unit': '°C', 'note': 'управляющий параметр сценарной диагностики'}"
hdt_W7,raw_signal,,,{}
hdt_P8,raw_signal,,,{}
hdt_F9,raw_signal,,,"{'name': 'массовый расход сырья', 'unit': 'т/ч', 'note': 'управляющий параметр сценарной диагностики; единицу нужно подтвердить по промышленному справочнику тегов'}"
hdt_W10,raw_signal,,,{}
hdt_T11,raw_signal,,,{}
hdt_T12,raw_signal,,,{}
hdt_P13,raw_signal,,,"{'name': 'давление на входе реактора', 'unit': 'МПа', 'note': 'управляющий параметр сценарной диагностики'}"
hdt_F14,raw_signal,,,{}
hdt_F15,raw_signal,,,{}
hdt_T16,raw_signal,,,{}
hdt_F17,raw_signal,,,{}
hdt_T18,raw_signal,,,{}
hdt_F19,raw_signal,,,{}
hdt_F22,raw_signal,,,{}
hdt_T23,raw_signal,,,{}
hdt_P24,raw_signal,,,{}
hdt_F25,raw_signal,,,{}
hdt_F26,raw_signal,,,{}
avt_T1,raw_signal,,,{}
avt_P2,raw_signal,,,{}
avt_F3,raw_signal,,,{}
avt_P4,raw_signal,,,{}
avt_F5,raw_signal,,,{}
avt_T6,raw_signal,,,"{'name': 'Температура низа К-1', 'unit': '°C', 'note': 'АВТ-6; справочник `теги АВТ_24-2000.xlsx`, лист `АВТ`.'}"
avt_F7,raw_signal,,,"{'name': 'Расход обессоленной нефти, 3-й ход в Т-4/2', 'unit': 'т/ч', 'note': 'АВТ-6; участвует в AVT6:240-350:T50.'}"
avt_F8,raw_signal,,,{}
avt_F9,raw_signal,,,"{'name': 'Расход обессоленной нефти, 2-й ход в Т-10/2', 'unit': 'т/ч', 'note': 'АВТ-6; хранится отдельно от hdt_F9.'}"
avt_D10,raw_signal,,,{}
avt_T11,raw_signal,,,{}
avt_F12,raw_signal,,,{}
avt_T13,raw_signal,,,{}
avt_F14,raw_signal,,,{}
avt_T15,raw_signal,,,{}
avt_F16,raw_signal,,,{}
avt_T17,raw_signal,,,{}
avt_T18,raw_signal,,,{}
avt_F19,raw_signal,,,{}
avt_T20,raw_signal,,,{}
avt_P21,raw_signal,,,{}
avt_P22,raw_signal,,,{}
avt_P23,raw_signal,,,{}
avt_T24,raw_signal,,,{}
avt_F25,raw_signal,,,{}
avt_F26,raw_signal,,,{}
avt_F27,raw_signal,,,{}
avt_F28,raw_signal,,,{}
avt_F29,raw_signal,,,{}
avt_F30,raw_signal,,,{}
avt_F31,raw_signal,,,{}
avt_F32,raw_signal,,,{}
avt_T33,raw_signal,,,{}
avt_F34,raw_signal,,,{}
avt_F35,raw_signal,,,{}
avt_F36,raw_signal,,,{}
avt_T37,raw_signal,,,{}
avt_T38,raw_signal,,,{}
avt_T39,raw_signal,,,{}
avt_T40,raw_signal,,,{}
avt_F41,raw_signal,,,{}
avt_T42,raw_signal,,,{}
avt_L43,raw_signal,,,{}
avt_P44,raw_signal,,,{}
avt_F45,raw_signal,,,{}
avt_F46,raw_signal,,,{}
avt_T47,raw_signal,,,{}
avt_T48,raw_signal,,,{}
avt_T49,raw_signal,,,{}
avt_P50,raw_signal,,,{}
avt_P51,raw_signal,,,{}
avt_P52,raw_signal,,,{}
avt_F53,raw_signal,,,{}
avt_F54,raw_signal,,,{}
avt_T55,raw_signal,,,{}
avt_F56,raw_signal,,,{}
avt_F57,raw_signal,,,{}
avt_T58,raw_signal,,,{}
avt_F59,raw_signal,,,{}
avt_F60,raw_signal,,,{}
avt_T61,raw_signal,,,{}
avt_F62,raw_signal,,,{}
avt_F63,raw_signal,,,{}
avt_F64,raw_signal,,,{}
avt_F65,raw_signal,,,{}
avt_T66,raw_signal,,,{}
avt_P67,raw_signal,,,{}
avt_F68,raw_signal,,,{}
avt_F69,raw_signal,,,{}
avt_W70,raw_signal,,,{}
avt_T71,raw_signal,,,{}
input_sulfur_mg_kg,lab,мг/кг,,{}
input_sulfur_age_hours,lab,ч,,{}
hdt_T90,calculated_vak,,hdt_F1;hdt_F15;hdt_F26;hdt_T12;hdt_T23;hdt_W7,{}
hdt_T50,calculated_vak,,hdt_F9;hdt_P13;hdt_T6,{}
hdt_I250,calculated_vak,,hdt_F14;hdt_F25;hdt_T5;hdt_T11;hdt_T16;hdt_T23,{}
hdt_IBP,calculated_vak,,hdt_F14;hdt_F22;hdt_F26;hdt_P13;hdt_P24;hdt_T16;hdt_T23;hdt_W4,{}
hdt_CloudPoint,calculated_vak,,hdt_F1;hdt_F9;hdt_F22;hdt_F25;hdt_T6;hdt_T16;hdt_W7,{}
hdt_CFPP,calculated_vak,,hdt_F9;hdt_P8;hdt_P24;hdt_T23;hdt_W7,{}
hdt_T95,calculated_vak,,hdt_F2;hdt_F9;hdt_T6;LIMS:Гидроочистка:1:95%.T,{}
